module_code,module_name,subject_name,nominal_year,semester_bucket,is_full_year
ACLT 11013,ACLT 11013,ACLT,1,1,false
AMAT 11223,AMAT 11223,AMAT,1,1,false
AMAT 11232,AMAT 11232,AMAT,1,1,false
AMAT 21262,AMAT 21262,AMAT,2,1,false
AMAT 21272,AMAT 21272,AMAT,2,1,false
AMAT 31303,AMAT 31303,AMAT,3,1,false
AMAT 31313,AMAT 31313,AMAT,3,1,false
AMAT 41363,AMAT 41363,AMAT,4,1,false
AMAT 41373,AMAT 41373,AMAT,4,1,false
AMAT 41813,AMAT 41813,AMAT,4,1,false
AMAT 41823,AMAT 41823,AMAT,4,1,false
AMAT 41833,AMAT 41833,AMAT,4,1,false
AMAT 43976,AMAT 43976,AMAT,4,1,false
APCH 11612,APCH 11612,APCH,1,1,false
APCH 21642,APCH 21642,APCH,2,1,false
APCH 21652,APCH 21652,APCH,2,1,false
APCH 21663,APCH 21663,APCH,2,1,false
APCH 21672,APCH 21672,APCH,2,1,false
APCH 21682,APCH 21682,APCH,2,1,false
APCH 31742,APCH 31742,APCH,3,1,false
APCH 31752,APCH 31752,APCH,3,1,false
APCH 31761,APCH 31761,APCH,3,1,false
APCH 31772,APCH 31772,APCH,3,1,false
APCH 31782,APCH 31782,APCH,3,1,false
BECS 11212,BECS 11212,BECS,1,1,false
BECS 11223,BECS 11223,BECS,1,1,false
BECS 11413,BECS 11413,BECS,1,1,false
BECS 11422,BECS 11422,BECS,1,1,false
BECS 11431,BECS 11431,BECS,1,1,false
BECS 11613,BECS 11613,BECS,1,1,false
BECS 21213,BECS 21213,BECS,2,1,false
BECS 21223,BECS 21223,BECS,2,1,false
BECS 21413,BECS 21413,BECS,2,1,false
BECS 21422,BECS 21422,BECS,2,1,false
BECS 21431,BECS 21431,BECS,2,1,false
BECS 21613,BECS 21613,BECS,2,1,false
BECS 31213,BECS 31213,BECS,3,1,false
BECS 31233,BECS 31233,BECS,3,1,false
BECS 31242,BECS 31242,BECS,3,1,false
BECS 31412,BECS 31412,BECS,3,1,false
BECS 31421,BECS 31421,BECS,3,1,false
BECS 31433,BECS 31433,BECS,3,1,false
BECS 31443,BECS 31443,BECS,3,1,false
BECS 31722,BECS 31722,BECS,3,1,false
BECS 31811,BECS 31811,BECS,3,1,false
BECS 43033,BECS 43033,BECS,4,1,false
BECS 43432,BECS 43432,BECS,4,1,false
BIOC 21612,BIOC 21612,BIOC,2,1,false
BIOC 21622,BIOC 21622,BIOC,2,1,false
BIOC 21631,BIOC 21631,BIOC,2,1,false
BIOC 31611,BIOC 31611,BIOC,3,1,false
BIOC 31622,BIOC 31622,BIOC,3,1,false
BIOC 31632,BIOC 31632,BIOC,3,1,false
BIOC 31641,BIOC 31641,BIOC,3,1,false
BIOC 43803,BIOC 43803,BIOC,4,1,false
BIOC 43818,BIOC 43818,BIOC,4,1,false
BIOL 11512,BIOL 11512,BIOL,1,1,false
BIOL 11522,BIOL 11522,BIOL,1,1,false
BIOL 11532,BIOL 11532,BIOL,1,1,false
BIOL 11552,BIOL 11552,BIOL,1,1,false
BSSS 11011,BSSS 11011,BSSS,1,1,false
BSSS 11023,BSSS 11023,BSSS,1,1,false
BSSS 11032,BSSS 11032,BSSS,1,1,false
BSSS 11042,BSSS 11042,BSSS,1,1,false
BSSS 11052,BSSS 11052,BSSS,1,1,false
BSSS 11062,BSSS 11062,BSSS,1,1,false
BSSS 11072,BSSS 11072,BSSS,1,1,false
BSSS 11082,BSSS 11082,BSSS,1,1,false
BSSS 21013,BSSS 21013,BSSS,2,1,false
BSSS 21022,BSSS 21022,BSSS,2,1,false
BSSS 21032,BSSS 21032,BSSS,2,1,false
BSSS 21042,BSSS 21042,BSSS,2,1,false
BSSS 21052,BSSS 21052,BSSS,2,1,false
BSSS 21061,BSSS 21061,BSSS,2,1,false
BSSS 21072,BSSS 21072,BSSS,2,1,false
BSSS 21081,BSSS 21081,BSSS,2,1,false
BSSS 31012,BSSS 31012,BSSS,3,1,false
BSSS 31022,BSSS 31022,BSSS,3,1,false
BSSS 31032,BSSS 31032,BSSS,3,1,false
BSSS 31041,BSSS 31041,BSSS,3,1,false
BSSS 31052,BSSS 31052,BSSS,3,1,false
BSSS 31062,BSSS 31062,BSSS,3,1,false
BSSS 31072,BSSS 31072,BSSS,3,1,false
BSSS 31083,BSSS 31083,BSSS,3,1,false
BSSS 31091,BSSS 31091,BSSS,3,1,false
CHEM 11601,CHEM 11601,CHEM,1,1,false
CHEM 11612,CHEM 11612,CHEM,1,1,false
CHEM 11622,CHEM 11622,CHEM,1,1,false
CHEM 11631,CHEM 11631,CHEM,1,1,false
CHEM 21672,CHEM 21672,CHEM,2,1,false
CHEM 21682,CHEM 21682,CHEM,2,1,false
CHEM 21691,CHEM 21691,CHEM,2,1,false
CHEM 31731,CHEM 31731,CHEM,3,1,false
CHEM 31742,CHEM 31742,CHEM,3,1,false
CHEM 31752,CHEM 31752,CHEM,3,1,false
CHEM 43928,CHEM 43928,CHEM,4,1,false
COSC 11012,COSC 11012,COSC,1,1,false
COSC 11023,COSC 11023,COSC,1,1,false
COSC 21052,COSC 21052,COSC,2,1,false
COSC 21063,COSC 21063,COSC,2,1,false
COSC 31093,COSC 31093,COSC,3,1,false
COSC 31103,COSC 31103,COSC,3,1,false
COSC 31112,COSC 31112,COSC,3,1,false
COSC 43378,COSC 43378,COSC,4,1,false
COST 11012,COST 11012,COST,1,1,false
COST 11023,COST 11023,COST,1,1,false
COST 21053,COST 21053,COST,2,1,false
COST 21063,COST 21063,COST,2,1,false
COST 31093,COST 31093,COST,3,1,false
COST 31102,COST 31102,COST,3,1,false
COST 31112,COST 31112,COST,3,1,false
COST 31122,COST 31122,COST,3,1,false
COST 31133,COST 31133,COST,3,1,false
COST 43378,COST 43378,COST,4,1,false
DELT 11232,DELT 11232,DELT,1,1,false
DELT 21222,DELT 21222,DELT,2,1,false
ELEC 11513,ELEC 11513,ELEC,1,1,false
ELEC 11521,ELEC 11521,ELEC,1,1,false
ELEC 11534,ELEC 11534,ELEC,1,1,false
ELEC 11541,ELEC 11541,ELEC,1,1,false
ELEC 21513,ELEC 21513,ELEC,2,1,false
ELEC 21521,ELEC 21521,ELEC,2,1,false
ELEC 31513,ELEC 31513,ELEC,3,1,false
ELEC 31521,ELEC 31521,ELEC,3,1,false
ELEC 31553,ELEC 31553,ELEC,3,1,false
ELEC 31563,ELEC 31563,ELEC,3,1,false
ELEC 33542,ELEC 33542,ELEC,3,1,false
ELEC 43042,ELEC 43042,ELEC,4,1,false
ELEC 43053,ELEC 43053,ELEC,4,1,false
ENCM 11702,ENCM 11702,ENCM,1,1,false
ENCM 11713,ENCM 11713,ENCM,1,1,false
ENCM 11722,ENCM 11722,ENCM,1,1,false
ENCM 21703,ENCM 21703,ENCM,2,1,false
ENCM 21711,ENCM 21711,ENCM,2,1,false
ENCM 21722,ENCM 21722,ENCM,2,1,false
ENCM 21732,ENCM 21732,ENCM,2,1,false
ENCM 21743,ENCM 21743,ENCM,2,1,false
ENCM 21752,ENCM 21752,ENCM,2,1,false
ENCM 31702,ENCM 31702,ENCM,3,1,false
ENCM 31712,ENCM 31712,ENCM,3,1,false
ENCM 31722,ENCM 31722,ENCM,3,1,false
ENCM 31732,ENCM 31732,ENCM,3,1,false
ENCM 31742,ENCM 31742,ENCM,3,1,false
ENCM 31752,ENCM 31752,ENCM,3,1,false
ENCM 31762,ENCM 31762,ENCM,3,1,false
ENCM 31812,ENCM 31812,ENCM,3,1,false
ENCM 31823,ENCM 31823,ENCM,3,1,false
ENCM 33774,ENCM 33774,ENCM,3,1,false
ENCM 41702,ENCM 41702,ENCM,4,1,false
ENCM 41713,ENCM 41713,ENCM,4,1,false
ENCM 41753,ENCM 41753,ENCM,4,1,false
ENCM 41774,ENCM 41774,ENCM,4,1,false
ENCM 41793,ENCM 41793,ENCM,4,1,false
ENCM 41802,ENCM 41802,ENCM,4,1,false
ENCM 41813,ENCM 41813,ENCM,4,1,false
ENCM 41822,ENCM 41822,ENCM,4,1,false
ENCM 41842,ENCM 41842,ENCM,4,1,false
ENCM 43722,ENCM 43722,ENCM,4,1,false
ENCM 43868,ENCM 43868,ENCM,4,1,false
FREN 13352,FREN 13352,FREN,1,1,false
GESR 31022,GESR 31022,GESR,3,1,false
GNCT 11212,GNCT 11212,GNCT,1,1,false
GNCT 13212,GNCT 13212,GNCT,1,1,false
GNCT 21212,GNCT 21212,GNCT,2,1,false
GNCT 23212,GNCT 23212,GNCT,2,1,false
INTE 11213,INTE 11213,INTE,1,1,false
INTE 11223,INTE 11223,INTE,1,1,false
INTE 21213,INTE 21213,INTE,2,1,false
INTE 21233,INTE 21233,INTE,2,1,false
INTE 21243,INTE 21243,INTE,2,1,false
INTE 21253,INTE 21253,INTE,2,1,false
INTE 21263,INTE 21263,INTE,2,1,false
INTE 21273,INTE 21273,INTE,2,1,false
INTE 21282,INTE 21282,INTE,2,1,false
INTE 21292,INTE 21292,INTE,2,1,false
INTE 21303,INTE 21303,INTE,2,1,false
INTE 31213,INTE 31213,INTE,3,1,false
INTE 31223,INTE 31223,INTE,3,1,false
INTE 31233,INTE 31233,INTE,3,1,false
INTE 31243,INTE 31243,INTE,3,1,false
INTE 31273,INTE 31273,INTE,3,1,false
INTE 31283,INTE 31283,INTE,3,1,false
INTE 31356,INTE 31356,INTE,3,1,false
INTE 31362,INTE 31362,INTE,3,1,false
INTE 31373,INTE 31373,INTE,3,1,false
INTE 31382,INTE 31382,INTE,3,1,false
INTE 41232,INTE 41232,INTE,4,1,false
INTE 41272,INTE 41272,INTE,4,1,false
INTE 41292,INTE 41292,INTE,4,1,false
INTE 41302,INTE 41302,INTE,4,1,false
INTE 41312,INTE 41312,INTE,4,1,false
INTE 41323,INTE 41323,INTE,4,1,false
INTE 41333,INTE 41333,INTE,4,1,false
INTE 41352,INTE 41352,INTE,4,1,false
INTE 43216,INTE 43216,INTE,4,1,false
JPNS 13354,JPNS 13354,JPNS,1,1,false
KORE 13362,KORE 13362,KORE,1,1,false
MACS 11512,MACS 11512,MACS,1,1,false
MACS 11521,MACS 11521,MACS,1,1,false
